pair_id,group_type,small_recipe_id,large_recipe_id,composite_score,ingredient_name,base_amount_g,role,target_amount_g,target_serving_size,per_serving_grams,ratio_actual,predicted_amount_g,ratio_baseline
PAIR_0154,dry_heat,A2113,LS_A0315,0.62022,두부,70.0,부재료,10000.0,100,100.0,1.4285714285714286,7000.0,1.0
PAIR_0154,dry_heat,A2113,LS_A0315,0.62022,참기름,1.0,조미료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0034,dry_heat,A2027,LS_A0169,0.619543,당근,5.0,부재료,1000.0,100,10.0,2.0,500.0,1.0
PAIR_0034,dry_heat,A2027,LS_A0169,0.619543,양파,10.0,부재료,2000.0,100,20.0,2.0,1000.0,1.0
PAIR_0034,dry_heat,A2027,LS_A0169,0.619543,마늘,1.0,부재료,70.0,100,0.7,0.7,100.0,1.0
PAIR_0034,dry_heat,A2027,LS_A0169,0.619543,후춧가루,0.01,조미료,2.0,100,0.02,2.0,1.0,1.0
PAIR_0229,dry_heat,A0535,LS_A0457,0.619543,달걀,50.0,주재료,7500.0,100,75.0,1.5,5000.0,1.0
PAIR_0229,dry_heat,A0535,LS_A0457,0.619543,소금,0.3,조미료,50.0,100,0.5,1.6666666666666667,30.0,1.0
PAIR_0212,dry_heat,A1440,LS_A0434,0.619089,생강,0.5,부재료,50.0,100,0.5,1.0,50.0,1.0
PAIR_0153,dry_heat,A1427,LS_A0313,0.613577,부추,10.0,부재료,2000.0,100,20.0,2.0,1000.0,1.0
PAIR_0153,dry_heat,A1427,LS_A0313,0.613577,달걀,52.0,부재료,8250.0,100,82.5,1.5865384615384615,5200.0,1.0
PAIR_0234,dry_heat,A2115,LS_A0463,0.612132,두부,30.0,부재료,3000.0,100,30.0,1.0,3000.0,1.0
PAIR_0234,dry_heat,A2115,LS_A0463,0.612132,식용유,5.0,조미료,500.0,100,5.0,1.0,500.0,1.0
PAIR_0224,dry_heat,A2209,LS_A0453,0.604256,깻잎,5.0,부재료,500.0,100,5.0,1.0,500.0,1.0
PAIR_0224,dry_heat,A2209,LS_A0453,0.604256,달걀,5.0,부재료,1000.0,100,10.0,2.0,500.0,1.0
PAIR_0148,dry_heat,A1490,LS_A0307,0.603925,가지,60.0,부재료,6500.0,100,65.0,1.0833333333333333,6000.0,1.0
PAIR_0130,dry_heat,O0008,LS_A0293,0.601814,당근,5.0,부재료,700.0,100,7.0,1.4,500.0,1.0
PAIR_0130,dry_heat,O0008,LS_A0293,0.601814,식용유,3.0,조미료,300.0,100,3.0,1.0,300.0,1.0
PAIR_0041,dry_heat,A1066,LS_A0174,0.6,당면,20.0,부재료,4000.0,100,40.0,2.0,2000.0,1.0
PAIR_0041,dry_heat,A1066,LS_A0174,0.6,당근,5.0,부재료,500.0,100,5.0,1.0,500.0,1.0
PAIR_0041,dry_heat,A1066,LS_A0174,0.6,양파,10.0,부재료,1000.0,100,10.0,1.0,1000.0,1.0
PAIR_0041,dry_heat,A1066,LS_A0174,0.6,설탕,5.0,조미료,350.0,100,3.5,0.7,500.0,1.0
PAIR_0041,dry_heat,A1066,LS_A0174,0.6,마늘,1.0,부재료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0041,dry_heat,A1066,LS_A0174,0.6,참기름,2.0,조미료,100.0,100,1.0,0.5,200.0,1.0
PAIR_0249,moist_heat,A1373,LS_A0531,0.697184,꽈리고추,17.0,부재료,3000.0,100,30.0,1.7647058823529411,1700.0,1.0
PAIR_0249,moist_heat,A1373,LS_A0531,0.697184,꽈리고추,17.0,부재료,3000.0,100,30.0,1.7647058823529411,1700.0,1.0
PAIR_0249,moist_heat,A1373,LS_A0531,0.697184,멸치,5.0,부재료,1000.0,100,10.0,2.0,500.0,1.0
PAIR_0249,moist_heat,A1373,LS_A0531,0.697184,멸치,5.0,부재료,1000.0,100,10.0,2.0,500.0,1.0
PAIR_0078,moist_heat,A1951,LS_A0235,0.690328,된장,15.0,양념,1500.0,100,15.0,1.0,1500.0,1.0
PAIR_0258,moist_heat,A1737,LS_A0552,0.684605,미트볼,60.0,부재료,6000.0,100,60.0,1.0,6000.0,1.0
PAIR_0258,moist_heat,A1737,LS_A0552,0.684605,미트볼,60.0,부재료,6000.0,100,60.0,1.0,6000.0,1.0
PAIR_0258,moist_heat,A1737,LS_A0552,0.684605,양파,10.0,부재료,1500.0,100,15.0,1.5,1000.0,1.0
PAIR_0258,moist_heat,A1737,LS_A0552,0.684605,양파,10.0,부재료,1500.0,100,15.0,1.5,1000.0,1.0
PAIR_0068,moist_heat,A0014,LS_A0229,0.679473,배추,120.0,주재료,7000.0,100,70.0,0.5833333333333334,12000.0,1.0
PAIR_0068,moist_heat,A0014,LS_A0229,0.679473,된장,7.0,조미료,1000.0,100,10.0,1.4285714285714286,700.0,1.0
