food_cd,food_nm,reason
D110-491360000-0001,잔멸치볶음_풋고추,중복 FOOD_CD
D110-491385100-0001,잔멸치볶음_홍고추_풋고추,중복 FOOD_CD
D110-492000000-0001,잡채,중복 FOOD_CD
D110-492290000-0001,잡채_어묵,중복 FOOD_CD
D110-492340000-0001,잡채_콩나물,중복 FOOD_CD
D110-495270000-0001,죽순볶음_소고기,중복 FOOD_CD
D110-499000000-0001,팔보채,중복 FOOD_CD
D110-501000000-0001,풋고추볶음,중복 FOOD_CD
D110-503320000-0001,햄볶음_채소,중복 FOOD_CD
D111-508000000-0001,감자조림,중복 FOOD_CD
D111-509000000-0001,고등어조림,중복 FOOD_CD
D111-511000000-0001,꽁치조림,중복 FOOD_CD
D111-514000000-0001,닭볶음탕,중복 FOOD_CD
D111-515000000-0001,닭조림,중복 FOOD_CD
D111-515010000-0001,닭조림_고추장,중복 FOOD_CD
D111-517000000-0001,두부조림,중복 FOOD_CD
D111-518000000-0001,땅콩조림,중복 FOOD_CD
D111-519000000-0001,멸치조림,중복 FOOD_CD
D111-520000000-0001,무조림,중복 FOOD_CD
D111-521000000-0001,미트볼조림,중복 FOOD_CD
D111-522000000-0001,버섯조림,중복 FOOD_CD
D111-523000000-0001,병어조림,중복 FOOD_CD
D111-525000000-0001,삼치조림,중복 FOOD_CD
D111-526000000-0001,양미리조림,중복 FOOD_CD
D111-527000000-0001,어묵조림,중복 FOOD_CD
D111-528000000-0001,연근조림,중복 FOOD_CD
D111-529000000-0001,오징어조림,중복 FOOD_CD
D111-530000000-0001,오징어채조림,중복 FOOD_CD
D111-531000000-0001,우엉조림,중복 FOOD_CD
D111-532020000-0001,장조림_달걀,중복 FOOD_CD
D111-532040000-0001,장조림_메추리알,중복 FOOD_CD
D111-532080000-0001,장조림_소고기,중복 FOOD_CD
D111-532081900-0001,장조림_소고기_메추리알,중복 FOOD_CD
D111-534000000-0001,쥐포조림,중복 FOOD_CD
D111-535000000-0001,코다리조림,중복 FOOD_CD
D111-536000000-0001,콩조림(콩자반),중복 FOOD_CD
D112-537000000-0001,감자튀김,중복 FOOD_CD
D112-542000000-0001,김튀김,중복 FOOD_CD
